acupoint_iri,acupoint,surface_region_iri,surface_region,related_region_iri,related_region,body_region_iri,body_region
http://www.acupunctureresearch.org/tara/ontology/TARA_5468609,BL 12,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5468609,BL 12,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004627,thoracic vertebra 2,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_6050541,BL 13,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_6050541,BL 13,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004628,thoracic vertebra 3,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_9523348,BL 14,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_9523348,BL 14,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004629,thoracic vertebra 4,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5797983,BL 15,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5797983,BL 15,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004630,thoracic vertebra 5,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1104010,BL 16,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1104010,BL 16,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004631,thoracic vertebra 6,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1124682,BL 17,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1124682,BL 17,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0006849,scapula,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1124682,BL 17,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004632,thoracic vertebra 7,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_9655874,BL 18,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_9655874,BL 18,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004633,thoracic vertebra 9,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_6145687,BL 19,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_6145687,BL 19,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004634,thoracic vertebra 10,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_8104948,BL 2,http://purl.obolibrary.org/obo/UBERON_0000033,head,http://purl.obolibrary.org/obo/UBERON_0010163,eyebrow,http://purl.obolibrary.org/obo/UBERON_0000033,head
http://www.acupunctureresearch.org/tara/ontology/TARA_8104948,BL 2,http://purl.obolibrary.org/obo/UBERON_0000033,head,http://uri.interlex.org/base/ilx_0741726,frontal notch,http://purl.obolibrary.org/obo/UBERON_0000033,head
http://www.acupunctureresearch.org/tara/ontology/TARA_3283628,BL 20,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_3283628,BL 20,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004635,thoracic vertebra 11,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_4839095,BL 21,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_4839095,BL 21,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004636,thoracic vertebra 12,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_3963382,BL 22,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://purl.obolibrary.org/obo/UBERON_0004617,lumbar vertebra 1,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_3963382,BL 22,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_0992296,BL 23,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://purl.obolibrary.org/obo/UBERON_0004618,lumbar vertebra 2,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_0992296,BL 23,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_7357260,BL 24,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://purl.obolibrary.org/obo/UBERON_0004619,lumbar vertebra 3,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_7357260,BL 24,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_0906448,BL 25,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://purl.obolibrary.org/obo/UBERON_0004620,lumbar vertebra 4,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_0906448,BL 25,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_4384020,BL 26,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://purl.obolibrary.org/obo/UBERON_0004621,lumbar vertebra 5,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_4384020,BL 26,http://purl.obolibrary.org/obo/UBERON_0005462,lower back,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0005462,lower back
http://www.acupunctureresearch.org/tara/ontology/TARA_6929444,BL 27,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795313,first posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_6929444,BL 27,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0741680,median sacral crest,,
http://www.acupunctureresearch.org/tara/ontology/TARA_5318530,BL 28,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0741680,median sacral crest,,
http://www.acupunctureresearch.org/tara/ontology/TARA_5318530,BL 28,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795314,second posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_3079460,BL 29,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0741680,median sacral crest,,
http://www.acupunctureresearch.org/tara/ontology/TARA_3079460,BL 29,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795315,third posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_1632803,BL 3,http://purl.obolibrary.org/obo/UBERON_0000033,head,http://uri.interlex.org/base/ilx_0795292,anterior hairline,http://purl.obolibrary.org/obo/UBERON_0000033,head
http://www.acupunctureresearch.org/tara/ontology/TARA_1632803,BL 3,http://purl.obolibrary.org/obo/UBERON_0000033,head,http://uri.interlex.org/base/ilx_0741726,frontal notch,http://purl.obolibrary.org/obo/UBERON_0000033,head
http://www.acupunctureresearch.org/tara/ontology/TARA_9128934,BL 30,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795316,fourth posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_9128934,BL 30,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0741680,median sacral crest,,
http://www.acupunctureresearch.org/tara/ontology/TARA_9128934,BL 30,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0741717,sacral hiatus,,
http://www.acupunctureresearch.org/tara/ontology/TARA_2465151,BL 31,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795313,first posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_6742407,BL 32,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://purl.obolibrary.org/obo/UBERON_0013710,posterior superior iliac spine,,
http://www.acupunctureresearch.org/tara/ontology/TARA_6742407,BL 32,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://purl.obolibrary.org/obo/UBERON_0004623,sacral vertebra 2,,
http://www.acupunctureresearch.org/tara/ontology/TARA_6742407,BL 32,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795314,second posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_6927551,BL 33,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795315,third posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_1522109,BL 34,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0795316,fourth posterior sacral foramen,,
http://www.acupunctureresearch.org/tara/ontology/TARA_1522109,BL 34,http://purl.obolibrary.org/obo/UBERON_0005473,sacral region,http://uri.interlex.org/base/ilx_0741717,sacral hiatus,,
http://www.acupunctureresearch.org/tara/ontology/TARA_8458036,BL 35,http://purl.obolibrary.org/obo/UBERON_0013691,buttock,http://purl.obolibrary.org/obo/UBERON_0001350,coccyx,http://purl.obolibrary.org/obo/UBERON_0013691,buttock
http://www.acupunctureresearch.org/tara/ontology/TARA_9927213,BL 36,http://purl.obolibrary.org/obo/UBERON_0013691,buttock,http://purl.obolibrary.org/obo/UBERON_0036014,gluteal sulcus,http://purl.obolibrary.org/obo/UBERON_0013691,buttock
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0001374,biceps femoris,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0036014,gluteal sulcus,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0001375,semitendinosus,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0001374,biceps femoris,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0036014,gluteal sulcus,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0001375,semitendinosus,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0001374,biceps femoris,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0036014,gluteal sulcus,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_2678584,BL 37,http://purl.obolibrary.org/obo/UBERON_0000376,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0001375,semitendinosus,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://purl.obolibrary.org/obo/UBERON_0001374,biceps femoris,http://purl.obolibrary.org/obo/UBERON_0001465,knee
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795317,biceps femoris tendon,http://purl.obolibrary.org/obo/UBERON_0001465,knee
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0001465,knee
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://purl.obolibrary.org/obo/UBERON_0001374,biceps femoris,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795317,biceps femoris tendon,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://purl.obolibrary.org/obo/UBERON_0001374,biceps femoris,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795317,biceps femoris tendon,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_3339722,BL 38,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795317,biceps femoris tendon,http://purl.obolibrary.org/obo/UBERON_0001465,knee
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0001465,knee
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795317,biceps femoris tendon,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795317,biceps femoris tendon,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_2186848,BL 39,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_0598260,BL 4,http://purl.obolibrary.org/obo/UBERON_0000033,head,http://uri.interlex.org/base/ilx_0795292,anterior hairline,http://purl.obolibrary.org/obo/UBERON_0000033,head
http://www.acupunctureresearch.org/tara/ontology/TARA_0598260,BL 4,http://purl.obolibrary.org/obo/UBERON_0000033,head,http://uri.interlex.org/base/ilx_0795285,anterior median line,http://purl.obolibrary.org/obo/UBERON_0000033,head
http://www.acupunctureresearch.org/tara/ontology/TARA_5290080,BL 40,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0001465,knee
http://www.acupunctureresearch.org/tara/ontology/TARA_5290080,BL 40,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0000978,leg
http://www.acupunctureresearch.org/tara/ontology/TARA_5290080,BL 40,http://purl.obolibrary.org/obo/UBERON_0001465,knee,http://uri.interlex.org/base/ilx_0795330,popliteal crease,http://purl.obolibrary.org/obo/UBERON_0002101,limb
http://www.acupunctureresearch.org/tara/ontology/TARA_7423288,BL 41,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_7423288,BL 41,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004627,thoracic vertebra 2,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1068174,BL 42,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1068174,BL 42,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004628,thoracic vertebra 3,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5367032,BL 43,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_5367032,BL 43,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004629,thoracic vertebra 4,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_7646636,BL 44,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_7646636,BL 44,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004630,thoracic vertebra 5,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_8937265,BL 45,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_8937265,BL 45,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004631,thoracic vertebra 6,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_0607588,BL 46,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_0607588,BL 46,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004632,thoracic vertebra 7,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1766712,BL 47,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_1766712,BL 47,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004633,thoracic vertebra 9,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_6893448,BL 48,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
http://www.acupunctureresearch.org/tara/ontology/TARA_6893448,BL 48,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004634,thoracic vertebra 10,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk
